Event Name,Ticket Price
Hyderabad Cultural Dance Festival,150
Lumbini Park Laser Light Show,100
Golconda Fort Sound and Light Show,120
Charminar Heritage Walk,80
HITEC City Technology Exhibition,250
Hyderabad International Film Festival,300
Botanical Gardens Nature Photography Contest,50
Hyderabad Crafts Fair at Shilparamam,70
Salar Jung Museum Art Exhibit,100
Bonalu Festival Procession,0
Golconda Fort Medieval Fair,150
Hyderabad Street Food Festival,20
Hussain Sagar Lake Boat Ride and Sunset Show,80
Qutb Shahi Tombs Heritage Exhibition,50
Hyderabad Kite Flying Festival,30
Laad Bazaar Bridal Fashion Show,120
Durgam Cheruvu Lake Eco-Adventure Day,200
Hyderabad Classical Music Concert,150
Charminar Night Bazaar,0
Hyderabad Literature Festival,250
